id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524,-71.02936,Entire home/apt,125,30,15,2019-02-22,0.30,1,118
5506,**$99 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32981,-71.09559,Entire home/apt,145,3,97,2019-07-27,0.76,6,83
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,104,2019-07-23,0.85,6,82
6976,Mexican Folk Art Showcase in Boston Neighborhood,16701,Phil,,Roslindale,42.29244,-71.13577,Private room,65,3,82,2019-08-03,0.67,1,59
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35919,-71.06265,Entire home/apt,99,31,23,2019-05-31,0.38,10,295
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.3584,-71.06185,Entire home/apt,150,28,29,2019-05-14,0.24,10,339
10811,Back Bay Studio on Marlborough St-,38997,Michelle,,Back Bay,42.34973,-71.08792,Entire home/apt,179,3,9,2019-07-22,0.20,11,301
10813,Back Bay Apt Studio-,38997,Michelle,,Back Bay,42.34961,-71.08904,Entire home/apt,179,29,70,2019-07-03,1.77,11,217
10986,Waterfront Furnished Apt,38997,Michelle,,North End,42.36352,-71.05075,Entire home/apt,125,30,2,2016-05-23,0.05,11,364
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.32329,-71.0621,Entire home/apt,126,2,50,2019-05-21,0.44,22,365
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34496,-71.07486,Private room,148,2,304,2019-07-19,3.10,5,68
24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",97821,Gretchen,,North End,42.36366,-71.05023,Entire home/apt,275,2,96,2019-08-15,0.89,1,136
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.31557,-71.11483,Entire home/apt,195,3,16,2019-05-05,0.25,1,357
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37834,-71.06663,Entire home/apt,221,2,93,2018-10-21,0.83,3,209
36885,A Cozy Corner of Boston,159160,Deborah,,Fenway,42.34633,-71.08832,Entire home/apt,165,4,153,2019-08-14,1.38,1,0
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.3151,-71.11108,Private room,95,6,73,2019-03-11,0.67,1,156
44205,Elegance at Salem Street Court,128280,Elizabeth,,Charlestown,42.37655,-71.06677,Entire home/apt,184,2,82,2019-04-16,0.75,3,196
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37404,-71.06118,Entire home/apt,125,3,120,2019-08-03,1.10,1,355
57156,3 Room Cottage in Boston,271947,Bill,,Dorchester,42.31004,-71.04942,Entire home/apt,105,28,49,2019-08-02,0.48,1,162
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32584,-71.08927,Private room,75,2,141,2019-08-13,1.34,5,36
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Downtown,42.35712,-71.0618,Entire home/apt,175,28,18,2018-11-05,0.26,10,197
66288,Architects Live-in Studio in Boston,324630,Sean,,Mission Hill,42.33215,-71.10674,Entire home/apt,79,1,673,2019-08-03,6.43,1,0
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35867,-71.06332,Entire home/apt,110,31,43,2018-12-10,0.52,10,198
69369,Room in Boston off the beaten path,255183,Michelle,,Roxbury,42.32614,-71.0884,Private room,79,2,110,2019-06-27,1.10,5,91
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853,-71.06177,Private room,140,2,43,2019-08-16,0.45,1,363
