period,period_no,variable,value,trt
jul_2018_aug_2018,1,asheville,93,0
aug_2018_sep_2018,2,asheville,139,0
sep_2018_oct_2018,3,asheville,98,0
oct_2018_nov_2018,4,asheville,110,0
nov_2018_dec_2018,5,asheville,70,0
dec_2018_jan_2019,6,asheville,151,0
jan_2019_feb_2019,7,asheville,62,0
feb_2019_mar_2019,8,asheville,110,0
mar_2019_apr_2019,9,asheville,94,0
apr_2019_may_2019,10,asheville,100,0
may_2019_jun_2019,11,asheville,114,0
jul_2018_aug_2018,1,boston,549,0
aug_2018_sep_2018,2,boston,413,0
sep_2018_oct_2018,3,boston,413,0
oct_2018_nov_2018,4,boston,678,0
nov_2018_dec_2018,5,boston,448,0
dec_2018_jan_2019,6,boston,460,0
jan_2019_feb_2019,7,boston,239,1
feb_2019_mar_2019,8,boston,425,1
mar_2019_apr_2019,9,boston,414,1
apr_2019_may_2019,10,boston,437,1
may_2019_jun_2019,11,boston,436,1
jul_2018_aug_2018,1,chicago,938,0
aug_2018_sep_2018,2,chicago,682,0
sep_2018_oct_2018,3,chicago,609,0
oct_2018_nov_2018,4,chicago,815,0
nov_2018_dec_2018,5,chicago,703,0
dec_2018_jan_2019,6,chicago,763,0
jan_2019_feb_2019,7,chicago,378,0
feb_2019_mar_2019,8,chicago,660,0
mar_2019_apr_2019,9,chicago,682,0
apr_2019_may_2019,10,chicago,627,0
may_2019_jun_2019,11,chicago,587,0
jul_2018_aug_2018,1,dc,656,0
aug_2018_sep_2018,2,dc,423,0
sep_2018_oct_2018,3,dc,431,0
oct_2018_nov_2018,4,dc,566,0
nov_2018_dec_2018,5,dc,414,0
dec_2018_jan_2019,6,dc,536,0
jan_2019_feb_2019,7,dc,317,0
feb_2019_mar_2019,8,dc,350,0
mar_2019_apr_2019,9,dc,532,0
apr_2019_may_2019,10,dc,491,0
may_2019_jun_2019,11,dc,467,0
jul_2018_aug_2018,1,denver,391,0
aug_2018_sep_2018,2,denver,425,0
sep_2018_oct_2018,3,denver,351,0
oct_2018_nov_2018,4,denver,494,0
nov_2018_dec_2018,5,denver,379,0
dec_2018_jan_2019,6,denver,380,0
jan_2019_feb_2019,7,denver,268,0
feb_2019_mar_2019,8,denver,356,0
mar_2019_apr_2019,9,denver,349,0
apr_2019_may_2019,10,denver,356,0
may_2019_jun_2019,11,denver,285,0
jul_2018_aug_2018,1,montreal,2691,0
aug_2018_sep_2018,2,montreal,1197,0
sep_2018_oct_2018,3,montreal,1135,0
oct_2018_nov_2018,4,montreal,1369,0
nov_2018_dec_2018,5,montreal,1459,0
dec_2018_jan_2019,6,montreal,1429,0
jan_2019_feb_2019,7,montreal,879,0
feb_2019_mar_2019,8,montreal,1099,0
mar_2019_apr_2019,9,montreal,1431,0
apr_2019_may_2019,10,montreal,1647,0
may_2019_jun_2019,11,montreal,1742,0
jul_2018_aug_2018,1,nashville,591,0
aug_2018_sep_2018,2,nashville,309,0
sep_2018_oct_2018,3,nashville,350,0
oct_2018_nov_2018,4,nashville,422,0
nov_2018_dec_2018,5,nashville,394,0
dec_2018_jan_2019,6,nashville,516,0
jan_2019_feb_2019,7,nashville,310,0
feb_2019_mar_2019,8,nashville,455,0
mar_2019_apr_2019,9,nashville,648,0
apr_2019_may_2019,10,nashville,657,0
may_2019_jun_2019,11,nashville,508,0
jul_2018_aug_2018,1,quebec,449,0
aug_2018_sep_2018,2,quebec,244,0
sep_2018_oct_2018,3,quebec,223,0
oct_2018_nov_2018,4,quebec,236,0
nov_2018_dec_2018,5,quebec,263,0
dec_2018_jan_2019,6,quebec,263,0
jan_2019_feb_2019,7,quebec,178,0
feb_2019_mar_2019,8,quebec,167,0
mar_2019_apr_2019,9,quebec,328,0
apr_2019_may_2019,10,quebec,258,0
may_2019_jun_2019,11,quebec,231,0
jul_2018_aug_2018,1,sf,2132,0
aug_2018_sep_2018,2,sf,545,0
sep_2018_oct_2018,3,sf,521,0
oct_2018_nov_2018,4,sf,487,0
nov_2018_dec_2018,5,sf,617,0
dec_2018_jan_2019,6,sf,521,0
jan_2019_feb_2019,7,sf,331,0
feb_2019_mar_2019,8,sf,525,0
mar_2019_apr_2019,9,sf,498,0
apr_2019_may_2019,10,sf,420,0
may_2019_jun_2019,11,sf,549,0
jul_2018_aug_2018,1,tc,274,0
aug_2018_sep_2018,2,tc,240,0
sep_2018_oct_2018,3,tc,187,0
oct_2018_nov_2018,4,tc,271,0
nov_2018_dec_2018,5,tc,247,0
dec_2018_jan_2019,6,tc,308,0
jan_2019_feb_2019,7,tc,196,0
feb_2019_mar_2019,8,tc,226,0
mar_2019_apr_2019,9,tc,363,0
apr_2019_may_2019,10,tc,219,0
may_2019_jun_2019,11,tc,204,0
