bimonth,price,nights,month,week,unit,trt
1,129.8011811023622,1527,2,8,asheville,0
2,135.79320445225542,1711,3,10,asheville,0
3,143.65965755482128,3330,3,12,asheville,0
4,143.54298771779492,3507,4,14,asheville,0
5,144.6923226056611,5160,4,16,asheville,0
6,146.03185121846943,4680,4,18,asheville,0
7,153.23497622135756,4629,5,20,asheville,0
8,149.25463770413825,6307,5,22,asheville,0
9,160.18681927266013,5417,6,24,asheville,0
11,168.8441006976039,6594,7,28,asheville,0
12,168.91530867134531,8407,7,30,asheville,0
13,167.47142638271794,6527,8,32,asheville,0
14,173.46539293439076,5548,8,34,asheville,0
15,164.19075579644687,6642,9,36,asheville,0
16,167.00841235851942,6538,9,38,asheville,0
17,172.09313446430605,8783,9,40,asheville,0
18,175.00985389058783,8829,10,42,asheville,0
19,168.23442584844258,8604,10,44,asheville,0
20,164.7525167785235,4768,11,46,asheville,0
21,171.03889499725125,7276,11,48,asheville,0
22,165.29757921668963,5081,12,50,asheville,0
1,153.43970058220128,3607,2,8,boston,0
2,210.68231271370843,6434,3,10,boston,0
3,210.0567396313364,6944,3,12,boston,0
4,268.0510889476898,4913,4,14,boston,0
5,255.47943331704934,10235,4,16,boston,0
6,269.97186955439383,8034,4,18,boston,0
7,329.65819234596944,11053,5,20,boston,0
8,278.1963975496023,10937,5,22,boston,0
9,269.4456384792114,13493,6,24,boston,0
11,291.8098611914401,13832,7,28,boston,1
12,286.8172675228222,12926,7,30,boston,1
13,271.0640662894099,9896,8,32,boston,1
14,253.6084978300434,14286,8,34,boston,1
15,268.4856189260823,10187,9,36,boston,1
16,278.69714285714286,12250,9,38,boston,1
17,259.76882783158726,10118,9,40,boston,1
18,274.5043655650755,12255,10,42,boston,1
19,220.8837816365906,8811,10,44,boston,1
20,210.94006677796327,5990,11,46,boston,1
21,200.18872198378637,8388,11,48,boston,1
22,160.12731698183862,5341,12,50,boston,1
1,128.70090708506987,4079,2,8,chicago,0
2,148.41270866989768,9285,3,10,chicago,0
3,126.00010493179434,9530,3,12,chicago,0
4,172.10967648338894,6893,4,14,chicago,0
5,164.02731754073668,14606,4,16,chicago,0
6,171.96448193144008,12923,4,18,chicago,0
7,192.028606500507,18737,5,20,chicago,0
8,215.00150627615062,17925,5,22,chicago,0
9,208.98769700507387,22271,6,24,chicago,0
11,210.73022847100177,21622,7,28,chicago,0
12,220.18758392265687,22342,7,30,chicago,0
13,210.61041503523884,15324,8,32,chicago,0
14,200.01625368869736,21349,8,34,chicago,0
15,203.89154320987655,16200,9,36,chicago,0
16,208.08973460190285,19970,9,38,chicago,0
17,214.59682773884177,16266,9,40,chicago,0
18,206.96677450380344,22874,10,42,chicago,0
19,186.5333277925532,12032,10,44,chicago,0
20,187.36510186005313,11293,11,46,chicago,0
21,202.04472057524916,15854,11,48,chicago,0
22,181.24152910512598,9208,12,50,chicago,0
1,127.94421553090332,3155,2,8,dc,0
2,181.08367147054707,7147,3,10,dc,0
3,162.94168021680215,9225,3,12,dc,0
4,177.56904480357377,7611,4,14,dc,0
5,193.31331923890065,11825,4,16,dc,0
6,172.62312657258505,9141,4,18,dc,0
7,194.85326200236227,14393,5,20,dc,0
8,167.0696671709531,13220,5,22,dc,0
9,196.05068604724013,15961,6,24,dc,0
11,183.68306713589604,14776,7,28,dc,0
12,173.78938928237338,14966,7,30,dc,0
13,161.40907164052564,9436,8,32,dc,0
14,169.4003296185842,12742,8,34,dc,0
15,160.97009639976392,10166,9,36,dc,0
16,182.68991248897632,14741,9,38,dc,0
17,172.03821474404677,14026,9,40,dc,0
18,184.53869825233699,17223,10,42,dc,0
19,160.26263182026594,10905,10,44,dc,0
20,169.81022541241657,7941,11,46,dc,0
21,178.09817374634244,9911,11,48,dc,0
22,160.02260638297872,6768,12,50,dc,0
1,118.1350525958602,2947,2,8,denver,0
2,127.82604895104895,2288,3,10,denver,0
3,141.41320520768753,3226,3,12,denver,0
4,139.85665954415956,5616,4,14,denver,0
5,151.77938186254576,4918,4,16,denver,0
6,146.06846175880835,6982,4,18,denver,0
7,157.18840579710144,5934,5,20,denver,0
8,160.87372287911836,8711,5,22,denver,0
9,173.3874821878768,9123,6,24,denver,0
11,175.87537004144465,10134,7,28,denver,0
12,176.05786586444876,11302,7,30,denver,0
13,172.74943693693695,10656,8,32,denver,0
14,182.21536809449947,8381,8,34,denver,0
15,171.54668646742158,10774,9,36,denver,0
16,174.03325688073394,8720,9,38,denver,0
17,173.011321116761,10423,9,40,denver,0
18,166.5699431749486,8271,10,42,denver,0
19,165.5613191343181,8733,10,44,denver,0
20,187.73132724341752,5583,11,46,denver,0
21,184.18156975861547,6587,11,48,denver,0
22,186.04694366759887,5006,12,50,denver,0
1,122.26709916589435,5395,2,8,montreal,0
2,133.2331313131313,9900,3,10,montreal,0
3,133.76484689985836,9177,3,12,montreal,0
4,147.6934958368529,8287,4,14,montreal,0
5,140.7484091172047,17286,4,16,montreal,0
6,162.93810282646984,11923,4,18,montreal,0
7,175.02660526988998,23454,5,20,montreal,0
8,230.59182278913502,17561,5,22,montreal,0
9,181.99387429360252,23181,6,24,montreal,0
11,201.63106568887503,25636,7,28,montreal,0
12,228.78547605812753,25186,7,30,montreal,0
13,213.03646967627625,27092,8,32,montreal,0
14,193.10493806438618,29791,8,34,montreal,0
15,169.79124696075027,17274,9,36,montreal,0
16,167.5831887030609,25352,9,38,montreal,0
17,161.3988675529296,20310,9,40,montreal,0
18,155.88934943233014,22196,10,42,montreal,0
19,149.59540474741326,13144,10,44,montreal,0
20,137.02610472154964,13216,11,46,montreal,0
21,140.66748325983994,12246,11,48,montreal,0
22,140.3049423267894,13091,12,50,montreal,0
1,213.47445956765412,6245,2,8,nashville,0
2,245.44888204795853,12344,3,10,nashville,0
3,250.07479387514724,15282,3,12,nashville,0
4,270.8964377820761,12408,4,14,nashville,0
5,297.150394326588,16357,4,16,nashville,0
6,279.2934422908084,14807,4,18,nashville,0
7,297.5979542896295,20433,5,20,nashville,0
8,345.82458411547674,15449,5,22,nashville,0
9,268.3618098796181,24093,6,24,nashville,0
11,276.10225959430915,25093,7,28,nashville,0
12,286.1391076115486,21717,7,30,nashville,0
13,291.7450187578157,23991,8,32,nashville,0
14,295.91724082356257,24822,8,34,nashville,0
15,314.61908646003263,19616,9,36,nashville,0
16,320.53413067853626,29431,9,38,nashville,0
17,315.03732229498183,29473,9,40,nashville,0
18,306.51543121768646,31527,10,42,nashville,0
19,287.5592839334614,24467,10,44,nashville,0
20,265.15755561237535,19555,11,46,nashville,0
21,249.81998194742187,17726,11,48,nashville,0
22,219.4439001787251,15107,12,50,nashville,0
1,237.9936231884058,1725,2,8,ri,0
2,241.37690355329948,788,3,10,ri,0
3,226.95454545454547,1012,3,12,ri,0
4,221.6810442678774,2643,4,14,ri,0
5,185.37818909454728,1999,4,16,ri,0
6,249.8292869920777,3913,4,18,ri,0
7,256.7594895287958,3056,5,20,ri,0
8,268.28362751065123,4929,5,22,ri,0
9,266.1709855131606,4901,6,24,ri,0
11,304.8798421283438,6841,7,28,ri,0
12,301.0985066806392,7634,7,30,ri,0
13,318.00290838584584,8252,8,32,ri,0
14,320.6544680851064,7050,8,34,ri,0
15,278.91404485925034,6643,9,36,ri,0
16,270.9899560577527,4779,9,38,ri,0
17,275.7724049914918,7052,9,40,ri,0
18,239.97140399913997,4651,10,42,ri,0
19,232.58793542905693,4708,10,44,ri,0
20,194.86219816819317,2402,11,46,ri,0
21,257.87039627039627,4290,11,48,ri,0
22,214.4306632213609,2322,12,50,ri,0
1,199.31991951710262,2485,2,8,sf,0
2,212.69646271510516,6276,3,10,sf,0
3,207.2177088900766,5613,3,12,sf,0
4,214.50313626050982,7493,4,14,sf,0
5,209.87273399926008,5406,4,16,sf,0
6,212.46140514598054,7501,4,18,sf,0
7,210.90193752471333,7587,5,20,sf,0
8,221.44722697288051,8186,5,22,sf,0
9,219.70040436221052,8161,6,24,sf,0
11,233.11283840947547,9456,7,28,sf,0
12,225.3245050478563,7627,7,30,sf,0
