week,price,nights,month,unit,trt
8,130.49823736780257,854,2,asheville,0
9,128.91976225854384,673,2,asheville,0
10,125.64878048780488,820,3,asheville,0
11,145.17136414881622,891,3,asheville,0
12,144.63845050215207,698,3,asheville,0
13,143.40045592705167,2632,3,asheville,0
14,142.05082053996824,1892,4,asheville,0
15,145.29156327543424,1615,4,asheville,0
16,142.66322517207473,2034,4,asheville,0
17,146.0134443021767,3126,4,asheville,0
18,148.76236852356837,2567,4,asheville,0
19,142.71151113216484,2113,5,asheville,0
20,150.00785083415113,2039,5,asheville,0
21,155.77627511591962,2590,5,asheville,0
22,149.22978855721394,3216,5,asheville,0
23,149.28049175024265,3091,6,asheville,0
24,158.25088589652728,2822,6,asheville,0
25,162.29210019267822,2595,6,asheville,0
26,158.812545410511,4129,6,asheville,0
27,162.7468528267338,4369,7,asheville,0
28,166.5530692470517,3307,7,asheville,0
29,171.14907210222086,3287,7,asheville,0
30,171.89495412844036,4360,7,asheville,0
31,165.70521373857179,4047,7,asheville,0
32,167.64028776978418,3614,8,asheville,0
33,167.2619292825266,2913,8,asheville,0
34,170.46323861073523,2217,8,asheville,0
35,175.463524467127,3331,8,asheville,0
36,164.85007496251873,3335,9,asheville,0
37,163.52585424856366,3307,9,asheville,0
38,160.1536415031593,3007,9,asheville,0
39,172.8459359954687,3531,9,asheville,0
40,173.02922309337134,4209,9,asheville,0
41,171.23174464363797,4574,10,asheville,0
42,173.55800132071317,4543,10,asheville,0
43,176.54876341577227,4286,10,asheville,0
44,165.0831134564644,4548,10,asheville,0
45,171.7679980276134,4056,11,asheville,0
46,174.64530551415797,2684,11,asheville,0
47,152.01151631477927,2084,11,asheville,0
48,178.56814038286234,4388,11,asheville,0
49,159.59903047091413,2888,12,asheville,0
50,163.70785629688118,2533,12,asheville,0
51,166.87794348508635,2548,12,asheville,0
52,203.2970297029703,4343,12,asheville,0
8,142.5316776482514,1973,2,boston,0
9,166.61077111383108,1634,2,boston,0
10,181.56447187928669,1458,3,boston,0
11,219.2140273311897,4976,3,boston,0
12,195.21277166621948,3727,3,boston,0
13,227.25396331986323,3217,3,boston,0
14,222.17797643234456,2461,4,boston,0
15,314.0925774877651,2452,4,boston,0
16,274.5925139880378,5183,4,boston,0
17,235.87074425969914,5052,4,boston,0
18,264.2979719188768,4487,4,boston,0
19,277.1494220468001,3547,5,boston,0
20,355.0174913693901,4345,5,boston,0
21,313.23211091234344,6708,5,boston,0
22,269.4998135719612,5364,5,boston,0
23,286.56684012201686,5573,6,boston,0
24,262.83814651656064,6129,6,boston,0
25,274.9450027159153,7364,6,boston,0
26,270.29887041104485,6374,6,boston,0
27,261.469546226644,4121,7,boston,1
28,284.3416435826408,5415,7,boston,1
29,296.61447071403114,8417,7,boston,1
30,292.10275794484113,7143,7,boston,1
31,280.28877745114994,5783,7,boston,1
32,278.62997107736805,5532,8,boston,1
33,261.4731897341888,4364,8,boston,1
34,264.5676584734799,7730,8,boston,1
35,240.68685173886516,6556,8,boston,1
36,273.7112309074573,5565,9,boston,1
37,262.19385547382086,4622,9,boston,1
38,281.6033562166285,5244,9,boston,1
39,276.52183842420783,7006,9,boston,1
40,256.2133965619443,5061,9,boston,1
41,263.32707138619736,5057,10,boston,1
42,287.2609245214879,5538,10,boston,1
43,263.9868989132053,6717,10,boston,1
44,225.56804386136676,5107,10,boston,1
45,214.42521598272137,3704,11,boston,1
46,209.31489361702128,2585,11,boston,1
47,212.17386196769456,3405,11,boston,1
48,220.14275291828793,4112,11,boston,1
49,181.0,4276,12,boston,1
50,162.04247104247105,2849,12,boston,1
51,157.93780096308186,2492,12,boston,1
52,182.3814696485623,3130,12,boston,1
8,113.02987070887205,2243,2,chicago,0
9,147.8458605664488,1836,2,chicago,0
10,161.12995451591942,1539,3,chicago,0
11,145.88600568035116,7746,3,chicago,0
12,124.12468586893485,5173,3,chicago,0
13,128.22676153316502,4357,3,chicago,0
14,158.68799530378632,3407,4,chicago,0
15,185.22719449225474,3486,4,chicago,0
16,166.19433441363583,8331,4,chicago,0
17,161.15027888446215,6275,4,chicago,0
18,176.40130778588806,6576,4,chicago,0
19,167.36757523239325,6347,5,chicago,0
20,194.04448473016316,7171,5,chicago,0
21,190.77874805464293,11566,5,chicago,0
22,212.21199166940698,9123,5,chicago,0
23,217.89275164735287,8802,6,chicago,0
24,216.81218952999617,10468,6,chicago,0
25,202.04820808269085,11803,6,chicago,0
26,192.1802915667097,10838,6,chicago,0
27,205.4923178807947,7550,7,chicago,0
28,211.88023303075465,7381,7,chicago,0
29,210.13419001474617,14241,7,chicago,0
30,198.2062381852552,10580,7,chicago,0
31,239.95995578983167,11762,7,chicago,0
32,216.13210181505747,9311,8,chicago,0
33,202.06020289373026,6013,8,chicago,0
34,199.56940789473686,12160,8,chicago,0
